Date,Open,High,Low,Close,5,10,20,60,120,Volume,5,20,40,60
20200724,325000,333000,322000,324500,319600,327750,315575,268983,218213,907643,1307686,1430097,1373533,1476807
20200723,316500,329500,315000,329500,319700,330850,313075,266658,216838,1260435,1379874,1425351,1391987,1472823
20200722,310500,321500,306000,318000,318200,333450,310325,264233,215417,1159298,1516089,1407342,1422853,1463849
20200721,323500,326000,311500,316000,322100,334450,308550,261983,214117,1676630,1581713,1403439,1444269,1462422
20200720,325000,325000,310000,310000,327500,333900,306825,259808,212846,1534422,1488891,1427921,1484211,1459642
20200717,319000,327000,314000,325000,335900,332950,305025,257592,211617,1268587,1460355,1451633,1512195,1445504
20200716,332000,335500,319000,322000,342000,329850,301950,255100,210288,1941508,1720025,1434210,1527657,1444896
20200715,344000,349500,332000,337500,348700,326200,299025,252650,208988,1487417,1824424,1386192,1514338,1426859
20200714,340500,346500,340000,343000,346800,319400,295300,249892,207550,1212519,1900873,1369931,1521501,1417865
20200713,359000,361000,345000,352000,340300,311850,291300,246933,206096,1391744,1968933,1355078,1523911,1414416
20200710,351000,368000,345500,355500,330000,303400,286325,243725,204567,2566935,1959554,1362952,1507730,1398399
20200709,335000,355500,332000,355500,317700,295300,281850,240425,203033,2463503,1767066,1319054,1481659,1363455
20200708,312000,328000,305000,328000,303700,287200,277325,237183,201488,1869663,1550074,1282106,1456567,1334952
20200707,306500,318000,304000,310500,292000,282650,274025,234350,200146,1552820,1291746,1267396,1437666,1315906
20200706,298000,307500,297000,300500,283400,279750,271225,231808,198950,1344851,1106000,1231498,1437922,1302331
20200703,289500,297000,284000,294000,276800,277100,269025,229467,197821,1604493,992794,1235109,1430511,1295263
20200702,273500,285500,273000,285500,272900,274050,266875,227242,196738,1378545,834440,1205248,1425534,1281985
20200701,271500,275000,267500,269500,270700,271850,265300,225108,195688,578023,738783,1197768,1456813,1268105
20200630,272000,273000,267500,267500,273300,271200,264300,223233,194775,624089,839425,1283987,1493261,1275868
20200629,269000,273500,266000,267500,276100,270750,263900,221283,193833,778818,1147860,1301724,1503144,1278704
20200626,279500,280000,268000,274500,277400,269250,263725,219417,192875,812726,1393828,1316968,1500162,1283099
20200625,278500,282000,273500,274500,275200,268400,263175,217392,191858,900258,1415308,1358623,1496560,1280691
20200624,281500,284000,275000,282500,273000,267450,262800,215358,190850,1081233,1431485,1438363,1492102,1281670
20200623,279000,289000,277000,281500,269100,265400,261700,213158,189775,2166267,1447679,1485100,1491913,1278544
20200622,263500,276000,260500,274000,265400,262700,261125,211042,188663,2008656,1197517,1540501,1475502,1263946
20200619,267500,269500,262000,263500,261100,260950,260825,209050,187600,920126,1105632,1572757,1442439,1251658
20200618,264500,267000,260500,263500,261600,259700,260000,207050,186642,981144,1259402,1621104,1450239,1262479
20200617,261500,268000,258000,263000,261900,258750,258700,205150,185696,1162204,1408083,1642484,1447193,1275556
20200616,260500,263000,258000,263000,261700,257400,257125,203000,184754,915456,1490733,1673071,1441833,1292138
20200615,266000,271000,250000,252500,260000,257050,254975,200967,183821,1549230,1474614,1692744,1444085,1295339
20200612,256500,268000,256000,266000,260800,258200,253400,199217,182971,1688975,1448184,1652509,1416123,1289869
20200611,264000,268000,261000,265000,257800,257950,251175,197242,182017,1724551,1311841,1644264,1385655,1282595
20200610,256500,263500,256500,262000,255600,258150,249175,195475,181067,1575452,1212721,1631027,1361374,1280552
20200609,255500,259500,252500,254500,253100,258000,246900,193792,180129,834862,1358109,1607935,1340161,1274595
20200608,252500,258000,248500,256500,254100,259550,244900,192367,179258,1417078,1386906,1644347,1337747,1269852
20200605,253000,253500,247500,251000,255600,260700,242450,190975,178367,1007264,1320230,1625914,1325340,1262081
20200604,247500,257000,247000,254000,258100,260300,240200,189583,177538,1228950,1447941,1645821,1320353,1258721
20200603,259500,261500,247500,249500,260700,258650,237800,188275,176700,2302391,1701161,1715859,1303273,1247712
20200602,262500,263000,257000,259500,262900,256850,235300,187108,175867,978846,1643878,1702536,1271808,1223035
20200601,263500,266000,259500,264000,265000,252900,231650,185775,175004,1083698,2102967,1704564,1267195,1218541
20200529,263500,267500,257500,263500,265800,248600,227650,184292,174113,1645822,2416983,1683355,1266164,1210962
20200528,257500,270000,252500,267000,262500,244400,223725,182817,173221,2495048,2465231,1634496,1241725,1196757
20200527,262000,267000,257000,260500,256600,240200,219575,181233,172292,2015974,2247969,1545842,1203323,1172222
20200526,273500,279500,261000,270000,250800,235800,215700,179867,171429,3274293,2199566,1498727,1175266,1151706
20200525,251000,270000,249000,268000,240800,230250,211475,178433,170492,2653776,1806488,1410503,1125668,1105741
20200522,237500,248500,235000,247000,231400,224200,206925,177058,169571,1887064,1424639,1312121,1091108,1071458
