Date,Open,High,Low,Close,Adj Close,Volume
2015-11-06,196000.000000,199000.000000,191500.000000,195500.000000,190912.750000,172018
2015-11-09,197000.000000,199000.000000,185500.000000,188000.000000,183588.734375,88216
2015-11-10,189500.000000,190500.000000,180500.000000,187500.000000,183100.468750,67278
2015-11-11,188500.000000,193500.000000,185000.000000,193000.000000,188471.421875,48960
2015-11-12,193000.000000,195000.000000,190500.000000,192500.000000,187983.140625,41240
2015-11-13,188500.000000,189000.000000,183500.000000,185500.000000,181147.390625,40476
2015-11-16,181000.000000,187500.000000,180500.000000,183500.000000,179194.312500,30973
2015-11-17,188000.000000,192500.000000,183500.000000,192000.000000,187494.875000,56796
2015-11-18,193000.000000,195000.000000,188000.000000,191000.000000,186518.343750,70012
2015-11-19,194000.000000,197500.000000,190500.000000,192000.000000,187494.875000,58517
2015-11-20,191000.000000,195000.000000,189000.000000,194500.000000,189936.218750,44455
2015-11-23,195000.000000,202000.000000,195000.000000,201500.000000,196771.953125,110410
2015-11-24,203500.000000,203500.000000,199000.000000,200000.000000,195307.156250,59506
2015-11-25,201000.000000,201500.000000,194500.000000,196500.000000,191889.281250,55248
2015-11-26,197500.000000,197500.000000,193500.000000,197000.000000,192377.546875,59916
2015-11-27,205000.000000,208500.000000,198500.000000,199000.000000,194330.625000,95059
2015-11-30,198500.000000,199000.000000,192500.000000,193500.000000,188959.671875,44259
2015-12-01,195500.000000,201500.000000,195000.000000,200000.000000,195307.156250,47921
2015-12-02,199500.000000,202000.000000,198000.000000,202000.000000,197260.234375,33397
2015-12-03,200500.000000,203000.000000,199000.000000,202500.000000,197748.484375,27932
2015-12-04,199000.000000,200500.000000,196000.000000,197000.000000,192377.546875,32135
2015-12-07,198000.000000,198000.000000,191500.000000,192000.000000,187494.875000,49481
2015-12-08,191000.000000,193500.000000,187000.000000,189500.000000,185053.546875,37933
2015-12-09,190000.000000,191500.000000,185000.000000,186500.000000,182123.921875,35008
2015-12-10,185000.000000,189000.000000,181000.000000,183000.000000,178706.046875,43504
2015-12-11,182500.000000,185000.000000,175500.000000,176500.000000,172358.578125,54977
2015-12-14,173000.000000,174000.000000,170000.000000,170500.000000,166499.359375,59382
2015-12-15,172000.000000,176000.000000,171500.000000,176000.000000,171870.296875,28842
2015-12-16,177000.000000,180000.000000,176500.000000,177000.000000,172846.828125,24445
2015-12-17,179000.000000,180000.000000,176500.000000,178000.000000,173823.375000,29339
2015-12-18,179000.000000,180500.000000,176000.000000,180000.000000,175776.437500,36546
2015-12-21,178500.000000,180000.000000,173500.000000,177500.000000,173335.109375,23821
2015-12-22,177500.000000,178000.000000,175000.000000,176000.000000,171870.296875,30227
2015-12-23,175000.000000,177500.000000,175000.000000,176000.000000,171870.296875,26330
2015-12-24,176500.000000,177000.000000,174000.000000,174000.000000,169917.234375,27635
2015-12-28,174000.000000,174500.000000,171500.000000,173000.000000,168940.703125,33180
